,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
No.,date,time,model,code,Barcode,,amount,angle,rank,amount,angle,rank,amount,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,amount,angle,rank,value,rank,value,rank,value,rank,value,rank,,value,value,rank,value,rank
,,,,,,,(g),(deg),,(g),(deg),,(g),,(g),(deg),,(g),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),(deg),,(mm),,(mm),,(mm),,(mm),,,(Kg/f),(Kg),,(mm),
362104,2023/10/25,00:19:55,22,185/70R14           ,890623,E,25.058,332.5,A,54.926,307.3,E,79.984,A,78.33,315.1,E,33.971,109,A,0.797,94,A,0.575,180.4,A,0,0,A,1.025,339.3,A,0,0,A,0.264,48.8,A,0.362,213.8,A,0,0,A,0.717,10.7,A,0,0,A,0.328,180.2,A,0.165,340.8,A,0,0,A,0.174,230.5,A,0,0,A,0.018,180.2,A,0.052,340.8,A,0,0,A,0.105,230.5,A,0,0,A,0.558,298.7,A,0.519,59.2,A,0.439,187.9,A,0.671,70.4,A,0.3,A,0,A,612.548,A,0,A,A,0,0,OK,0,A
362105,2023/10/25,00:20:19,22,185/70R14           ,890626,A,6.184,258.9,A,35.304,224.8,A,41.488,A,40.573,229.7,A,30.382,38.2,A,0.445,246,A,0.766,152.4,A,0,0,A,0.421,308.2,A,0,0,A,0.105,210.8,A,0.431,180.2,A,0,0,A,0.201,347.3,A,0,0,A,0.136,166,A,0.235,328.3,A,0,0,A,0.034,70.3,A,0,0,A,0.041,166,A,0.041,328.3,A,0,0,A,0.042,80.5,A,0,0,A,0.63,87.1,A,0.612,81.1,A,0.763,75.4,A,0.655,73.7,A,0.184,A,0,A,612.534,A,0,A,A,0,0,OK,0,A
362106,2023/10/25,00:20:46,22,185/70R14           ,890859,A,25.338,60.7,A,25.394,124.9,A,50.731,A,42.985,92.9,A,26.944,2.7,A,0.442,294,A,1.065,160.1,A,0,0,A,0.826,13.2,A,0,0,A,0.181,230.1,A,0.542,176.7,A,0,0,A,0.659,24.8,A,0,0,A,0.112,210.6,A,0.341,354.6,A,0,0,A,0.054,338.8,A,0,0,A,0.042,210.6,A,0.077,354.6,A,0,0,A,0.059,338.8,A,0,0,A,0.726,3.4,A,0.604,3.9,A,0.482,9.3,A,0.461,240.6,A,0.265,A,0,A,612.117,A,0,A,A,0,0,OK,0,A
362107,2023/10/25,00:21:34,22,185/70R14           ,890446,A,24.479,9.5,A,14.863,130.2,A,39.342,A,21.164,46.6,A,34.531,347.8,A,0.574,87.2,A,0.862,136.4,A,0,0,A,0.682,340.6,A,0,0,A,0.075,98.7,A,0.624,164.6,A,0,0,A,0.524,48.3,A,0,0,A,0.238,159.3,A,0.244,228.1,A,0,0,A,0.058,154.8,A,0,0,A,0.055,159.3,A,0.074,228.1,A,0,0,A,0.077,152.3,A,0,0,A,0.584,5.3,A,0.75,6.3,A,0.596,238.9,A,0.493,9.3,A,0.251,A,0,A,611.947,A,0,A,A,0,0,OK,0,A
362108,2023/10/25,00:22:02,22,185/70R14           ,890445,A,24.467,34.7,A,25.119,319.5,A,49.586,A,39.298,356.5,A,30.246,88.1,A,0.677,80,A,0.784,201.5,A,0,0,A,0.557,356.6,A,0,0,A,0.131,70.9,A,0.603,206.8,A,0,0,A,0.387,29.1,A,0,0,A,0.291,118.4,A,0.228,268.9,A,0,0,A,0.08,293.7,A,0,0,A,0.073,118.4,A,0.028,268.9,A,0,0,A,0.021,291.7,A,0,0,A,0.737,0.8,A,0.459,324.7,A,0.514,8.8,A,0.614,72,A,0.173,A,0,A,612.112,A,0,A,A,0,0,OK,0,A
362109,2023/10/25,00:22:35,22,185/70R14           ,890618,A,5.962,329.7,A,10.669,213.6,A,16.631,A,9.672,247.3,A,14.325,11.7,A,0.709,79.7,A,0.833,157.2,A,0,0,A,0.433,82.6,A,0,0,A,0.236,57.6,A,0.412,178.2,A,0,0,A,0.261,45,A,0,0,A,0.321,152.8,A,0.121,312.5,A,0,0,A,0.096,85.1,A,0,0,A,0.067,152.8,A,0.095,312.5,A,0,0,A,0.053,81,A,0,0,A,0.607,0.4,A,0.63,62.5,A,0.511,6.1,A,0.64,71.7,A,0.227,A,0,A,612.536,A,0,A,A,0,0,OK,0,A
362110,2023/10/25,00:23:05,22,185/70R14           ,890860,A,15.904,66.3,A,17.991,78.9,A,33.895,A,33.692,73,A,4.253,313.4,A,0.479,83.1,A,0.997,160.3,A,0,0,A,0.777,341.3,A,0,0,A,0.126,166.3,A,0.557,158.1,A,0,0,A,0.506,25.8,A,0,0,A,0.09,205.8,A,0.286,32.1,A,0,0,A,0.115,292.6,A,0,0,A,0.073,205.8,A,0.054,32.1,A,0,0,A,0.03,292.6,A,0,0,A,0.579,290.4,A,0.639,1.3,A,0.415,70.8,A,0.534,354.2,A,0.377,A,0,A,612.157,A,0,A,A,0,0,OK,0,A
362111,2023/10/25,00:23:32,22,185/70R14           ,890862,A,22.517,19.7,A,15.952,307.7,A,38.469,A,31.365,350.7,A,23.22,60.5,A,0.436,66.9,A,0.619,28.2,A,0,0,A,0.728,22.1,A,0,0,A,0.095,114.1,A,0.173,324.8,A,0,0,A,0.577,46,A,0,0,A,0.055,264.1,A,0.241,55.9,A,0,0,A,0.081,333.8,A,0,0,A,0.044,264.1,A,0.02,55.9,A,0,0,A,0.071,334.6,A,0,0,A,0.694,3.8,A,0.697,5.3,A,0.534,11.1,A,0.445,120,A,0.245,A,0,A,612.099,A,0,A,A,0,0,OK,0,A
