No,Date,Time,Shift,Model No.,Size code,Barcode,Bead Dia.,Air press.,Load,CW RFV-OA,,,1H,,,2H,,,3H,,,4H,,,5H,,,6H,,,7H,,,8H,,,9H,,,10H,,,LFV-OA,,,1H,,,2H,,,3H,,,4H,,,5H,,,6H,,,7H,,,8H,,,9H,,,10H,,,LFD,,CCW RFV-OA,,,1H,,,2H,,,3H,,,4H,,,5H,,,6H,,,7H,,,8H,,,9H,,,10H,,,LFV-OA,,,1H,,,2H,,,3H,,,4H,,,5H,,,6H,,,7H,,,8H,,,9H,,,10H,,,LFD,,CON,,PLY,,Ufm,LT-OA,,,1H,,,LB-OA,,,1H,,,RT-OA,,,1H,,,RC-OA,,,1H,,,RB-OA,,,1H,,,LTbulg,,,dent,,,LBbulg,,,dent,,,Circularity,,Ro,Width,,Weight,,Total
,,,,,,,in,MPa,N,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,deg,rank,N,rank,N,rank,N,rank,RANK,mm,deg,rank,mm,deg,rank,mm,deg,rank,mm,deg,rank,mm,deg,rank,mm,deg,rank,mm,deg,rank,mm,deg,rank,mm,deg,rank,mm,deg,rank,LTmm,deg,rank,mm,deg,rank,LBmm,deg,rank,mm,deg,rank,mm,rank,Rank,mm,rank,Kg,rank,rank
6765,2023-10-25,00:22:57,C,22,185/70R14,890623,14,0.2,2963,153.5,337,5,130.1,353,5,4.7,347,0,6.3,241,0,10.2,208,0,4.9,271,0,4.9,146,0,4.4,294,0,12.4,167,0,3.9,104,0,3.2,238,0,22.7,38,1,18,10,0,2.5,41,0,3.5,118,0,2.7,46,0,1.1,172,0,1,229,0,2,276,0,0.7,11,0,0.8,61,0,0.7,110,0,-251.3,0,148.2,332,5,127.3,349,5,4.1,17,0,6.2,224,0,9.2,198,0,4.8,246,0,5.2,115,0,4.5,271,0,12.3,138,0,4,67,0,1.4,220,0,9.3,180,1,3.8,230,0,0.7,63,0,2.8,110,0,3.6,20,0,0.6,28,0,0.8,329,0,1.2,195,0,1.8,333,0,0.7,280,0,0.5,59,0,246.3,0,-2.5,1,-248.8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6766,2023-10-25,00:23:22,C,22,185/70R14,890626,14,0.2,3047,56.2,252,1,24.3,272,1,14.9,139,0,2.2,227,0,5.5,328,0,5,241,0,10,0,0,2.9,328,0,10.9,250,0,2.7,126,0,3.2,239,0,26.3,240,1,19.2,217,0,3.2,147,0,0.9,34,0,0.2,150,0,4.3,126,0,3.9,356,0,1.1,281,0,0.3,41,0,2.2,35,0,0.5,157,0,-258.8,0,61.9,247,1,30.4,257,1,13.6,140,0,2.6,219,0,7.7,298,0,5.8,191,0,11.5,333,0,3.8,283,0,11.1,212,0,2.5,53,0,3.4,203,0,19.1,233,1,6.4,264,0,6,63,0,2.1,12,0,1.8,312,0,4.2,94,0,3.5,302,0,1.3,231,0,2.2,33,0,2,351,0,1.1,97,0,271.4,0,6.3,1,-265.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6767,2023-10-25,00:24:08,C,22,185/70R14,890859,14,0.2,2996,125.8,58,1,115.5,25,1,22.5,68,0,17.1,266,0,14.1,317,0,10.1,316,0,5.6,111,0,6.8,323,0,11.2,101,0,3.3,149,0,1.5,258,0,15.7,87,1,9.4,28,0,6.3,192,0,4.4,226,0,1.9,19,0,2.2,8,0,0.2,257,0,1.2,307,0,1.5,96,0,1.4,57,0,0.3,319,0,-239.9,0,118.7,0,1,107.5,19,1,20.1,58,0,19.9,255,0,13.6,295,0,8.4,300,0,7,78,0,7.4,298,0,11,67,0,1.5,111,0,1.4,207,0,11.6,83,1,1.6,209,0,4.6,181,0,3.9,270,0,1.6,10,0,2,8,0,0.6,335,0,0.6,198,0,1,303,0,1.2,39,0,0.5,30,0,257.8,0,8.9,1,-248.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6768,2023-10-25,00:24:56,C,22,185/70R14,890446,14,0.2,3002,136.1,61,1,95.9,55,1,30.4,68,0,27.8,271,0,9.3,301,0,19.6,314,0,3.9,336,0,9.1,13,0,10.3,109,0,2.2,174,0,4,304,0,6.7,21,1,4.8,22,0,2.2,257,0,1.9,333,0,0.5,104,0,1,120,0,0.9,81,0,1.2,194,0,0.4,174,0,0.3,69,0,0.3,277,0,-160.6,0,132.9,57,1,92.2,52,1,30.8,61,0,27.4,261,0,9.5,283,0,19.4,288,0,4,314,0,9.4,342,0,10.3,78,0,2.9,134,0,5.2,259,0,14.5,331,1,8.9,288,0,5,297,0,2.9,2,0,0.8,9,0,1.6,71,0,0.8,21,0,2,153,0,0.7,208,0,0.4,263,0,0.7,58,0,156.4,0,-2.1,1,-158.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6769,2023-10-25,00:25:24,C,22,185/70R14,890445,14,0.2,3006,105.2,55,1,88.7,40,1,6.4,130,0,9.5,221,0,6.8,286,0,17.2,337,0,0.7,15,0,7.1,325,0,9.7,353,0,0.8,179,0,2.2,335,0,19.7,13,1,15.7,58,0,2.7,328,0,1.8,37,0,2.7,84,0,0.3,57,0,0.2,292,0,0.9,99,0,0.7,330,0,1.3,91,0,0.7,80,0,-180.7,0,101.3,51,1,88.1,37,1,6.2,128,0,9.5,216,0,5.4,272,0,16,317,0,1.8,44,0,6.4,291,0,9.2,316,0,0.7,53,0,2.2,291,0,13,108,1,7.8,147,0,3.6,218,0,1.3,38,0,3.3,17,0,2.7,123,0,0.8,229,0,1.1,144,0,0.6,145,0,0.9,61,0,0.9,57,0,162.7,0,-9,1,-171.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6770,2023-10-25,00:25:53,C,22,185/70R14,890618,14,0.2,3003,53.2,68,1,29,27,1,17.1,92,0,9.8,315,0,5.5,213,0,16.5,305,0,5.7,69,0,3.3,261,0,12.2,248,0,2.9,110,0,2.4,264,0,14.8,110,1,6.4,118,0,5.9,161,0,3.1,5,0,2.7,94,0,1.5,141,0,0.5,254,0,0.7,355,0,0.8,324,0,1.5,32,0,0.5,51,0,-251.9,0,51.5,66,1,24.4,24,1,17.1,94,0,10.7,304,0,4,190,0,15.1,282,0,6.9,52,0,3,233,0,10.3,215,0,2.7,40,0,2.1,244,0,18.5,227,1,15.3,190,0,1.9,141,0,1.6,347,0,1.7,65,0,2.7,101,0,1.7,261,0,0.3,301,0,1.3,352,0,1.1,356,0,0.7,96,0,268,0,8,1,-259.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6771,2023-10-25,00:26:24,C,22,185/70R14,890860,14,0.2,2971,88,356,1,72.7,7,1,16.7,166,0,15.1,283,0,4.2,289,0,1.7,266,0,3.2,337,0,2.1,321,0,9.6,13,0,0.3,282,0,1.4,207,0,36.3,96,1,30.4,83,0,3.4,210,0,1.8,309,0,3.9,71,0,1.1,118,0,1,9,0,0.7,151,0,1.9,26,0,1.3,31,0,0.9,278,0,-237.4,0,78.4,352,1,64.7,8,1,17.4,153,0,14.9,272,0,5.4,279,0,1.6,214,0,2.1,335,0,1.7,306,0,8.8,337,0,1.6,269,0,0.6,217,0,23.8,176,1,22.6,196,0,3.1,203,0,2.2,5,0,3.9,20,0,0.6,74,0,1.5,327,0,1.5,177,0,0.1,299,0,1.1,23,0,0.2,128,0,260.1,0,11.3,1,-248.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6772,2023-10-25,00:26:54,C,22,185/70R14,890862,14,0.2,2978,99.2,66,1,70.2,57,1,4.3,140,0,14.7,242,0,5.4,40,0,8.6,313,0,7.7,96,0,6.7,311,0,14.3,164,0,1.1,261,0,3.5,218,0,24.6,302,1,21.4,279,0,6.4,299,0,1.3,227,0,0.7,356,0,0.9,44,0,0.3,69,0,0.7,334,0,1.6,211,0,0.4,40,0,0.8,196,0,-237.4,0,92.3,62,1,63.3,46,1,2.9,129,0,15.2,229,0,6.7,20,0,7.4,281,0,7.3,69,0,6.1,283,0,14.6,132,0,1.6,244,0,3.3,180,0,19.5,330,1,14,314,0,6.5,330,0,1.9,158,0,0.5,174,0,0.5,89,0,0.1,297,0,0.9,202,0,0.2,328,0,0.6,89,0,0.7,87,0,255,0,8.8,1,-246.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6773,2023-10-25,00:27:46,C,22,185/70R14,890854,14,0.2,2976,143.6,345,5,119.4,12,1,17,3,0,7.6,250,0,11,346,0,12.6,259,0,5.9,70,0,3.9,305,0,12.1,184,0,2.4,262,0,2.5,171,0,23.8,250,1,20.5,290,0,6.1,78,0,2.8,18,0,1,8,0,0.5,290,0,0.6,101,0,1.2,193,0,1.4,209,0,0.5,119,0,0.2,244,0,-243.5,0,148.2,340,5,123,3,5,13.7,350,0,7.2,242,0,12.6,332,0,13,229,0,6.5,39,0,3.8,267,0,12.9,151,0,2.3,219,0,2.3,138,0,13.4,1,1,6.2,24,0,3,334,0,3.7,23,0,3,328,0,0.9,309,0,1.5,327,0,1.4,163,0,0.6,98,0,0.7,116,0,0.7,344,0,252.2,0,4.3,1,-247.9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6774,2023-10-25,00:28:14,C,22,185/70R14,890440,14,0.2,3015,128.1,349,1,92.1,12,1,14,353,0,18,280,0,7.5,269,0,17.5,344,0,3.7,226,0,6.3,10,0,13.7,230,0,0.9,159,0,3.7,327,0,7.5,97,1,5,121,0,2.2,120,0,1.1,309,0,1,150,0,1,18,0,0.6,338,0,1.5,49,0,1,335,0,0.7,108,0,0.6,233,0,-180.1,0,121.9,347,1,88.3,7,1,11.9,333,0,17.4,264,0,7.1,264,0,15.5,329,0,2.4,190,0,6.8,346,0,13,201,0,1.4,35,0,4.6,282,0,12.6,127,1,8.6,199,0,3,257,0,2.1,30,0,1.7,103,0,1.3,111,0,1.2,324,0,0.6,212,0,1.2,341,0,0.9,108,0,1.3,108,0,152.7,0,-13.7,1,-166.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6775,2023-10-25,00:28:41,C,22,185/70R14,890441,14,0.2,2986,116.2,345,1,94.5,3,1,16.3,70,0,23,273,0,10.5,332,0,9.9,308,0,5.4,145,0,2.6,28,0,11.1,142,0,1.6,192,0,4.8,268,0,7.4,254,1,4.6,248,0,1.2,191,0,0.8,63,0,1.8,63,0,1.3,105,0,1.4,81,0,1.4,21,0,0.3,172,0,1.1,65,0,0.4,170,0,-176,0,116.5,340,1,95.7,358,1,14.6,63,0,22.6,260,0,11,311,0,8.6,287,0,5.5,115,0,3.3,4,0,11.2,107,0,1.2,222,0,3.5,218,0,11.9,248,1,7.1,259,0,3.1,119,0,3.4,73,0,2.8,25,0,2.5,67,0,2.5,14,0,0.2,73,0,0.4,284,0,1.2,31,0,0.7,99,0,154.3,0,-10.8,1,-165.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6776,2023-10-25,00:29:27,C,22,185/70R14,890541,14,0.2,3008,121.7,347,1,101.1,342,1,19.7,153,0,5.8,215,0,9.1,322,0,10.7,283,0,1.9,18,0,4,309,0,11.5,261,0,1.4,160,0,1.8,298,0,9.1,244,1,3.5,266,0,3.3,137,0,2.5,69,0,0.2,233,0,2,182,0,1.3,1,0,1.7,247,0,1.9,335,0,0.8,41,0,0.7,157,0,-233.3,0,117.4,343,1,97.5,334,1,20.8,152,0,6.2,209,0,9,304,0,10.3,263,0,1.7,17,0,4.7,272,0,11.5,231,0,1.2,109,0,1.1,232,0,10.8,228,1,4.7,192,0,4.1,44,0,1.6,68,0,0.5,14,0,2.7,74,0,1.6,347,0,1.4,209,0,1.8,346,0,0.4,153,0,1,92,0,238.1,0,2.4,1,-235.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
